registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,docs_folder_count,docs_folder_files,error
rubygems,field_test,2037808.0,1.0.0,24,24,2016-12-14,2026-04-02,https://github.com/ankane/field_test,https://rubygems.org/gems/field_test,https://www.rubydoc.info/gems/field_test/1.0.0,README.md,Yes,0,,
rubygems,logster,2024174.0,2.21.0,114,98,2014-05-05,2026-04-30,https://github.com/discourse/logster,https://rubygems.org/gems/logster,https://www.rubydoc.info/gems/logster/2.21.0,README.md,Yes,0,,
rubygems,fixture_builder,1979720.0,0.5.2,19,12,2011-09-16,2019-08-11,https://github.com/rdy/fixture_builder,https://rubygems.org/gems/fixture_builder,https://www.rubydoc.info/gems/fixture_builder/0.5.2,README.markdown,Yes,0,,
rubygems,json_refs,1976986.0,0.1.9,10,10,2017-11-15,2024-05-28,https://github.com/tzmfreedom/json_refs,https://rubygems.org/gems/json_refs,https://github.com/tzmfreedom/json_refs,README.md,Yes,0,,
rubygems,iso,1959435.0,0.4.0,14,14,2012-09-02,2020-11-17,https://github.com/tigrish/iso,https://rubygems.org/gems/iso,https://github.com/tigrish/iso,README.md,Yes,0,,
rubygems,datagrid,1944221.0,2.0.9,86,85,2011-06-10,2025-12-18,https://github.com/bogdan/datagrid,https://rubygems.org/gems/datagrid,https://rubydoc.info/gems/datagrid,README.md,Yes,0,,
rubygems,json-ld-preloaded,1943980.0,3.3.2,28,28,2016-08-16,2025-07-22,https://github.com/ruby-rdf/json-ld-preloaded,https://rubygems.org/gems/json-ld-preloaded,https://ruby-rdf.github.io/json-ld-preloaded,README.md,Yes,0,,
rubygems,gergich,1929087.0,2.2.1,39,39,2016-04-05,2024-07-03,https://github.com/instructure/gergich,https://rubygems.org/gems/gergich,https://www.rubydoc.info/gems/gergich/2.2.1,,No,0,,
rubygems,hotwire-livereload,1926894.0,2.1.1,21,21,2021-09-03,2025-10-14,https://github.com/kirillplatonov/hotwire-livereload,https://rubygems.org/gems/hotwire-livereload,https://github.com/kirillplatonov/hotwire-livereload,README.md,Yes,0,,
rubygems,inertia_rails,1922097.0,3.22.0,57,57,2019-10-09,2026-07-17,https://github.com/inertiajs/inertia-rails,https://rubygems.org/gems/inertia_rails,https://github.com/inertiajs/inertia-rails/blob/master/README.md,README.md,Yes,0,,
