package,version,released,platform,prerelease
bundler,1.0.3,2010-10-16,ruby,False
bundler,1.0.2,2010-10-02,ruby,False
bundler,1.0.0,2010-08-29,ruby,False
bundler,1.0.0.rc.6,2010-08-24,ruby,True
bundler,1.0.0.rc.5,2010-08-11,ruby,True
bundler,1.0.0.rc.3,2010-08-04,ruby,True
bundler,1.0.0.rc.2,2010-07-30,ruby,True
bundler,1.0.0.rc.1,2010-07-26,ruby,True
bundler,1.0.0.beta.10,2010-07-25,ruby,True
bundler,1.0.0.beta.9,2010-07-22,ruby,True
bundler,1.0.0.beta.8,2010-07-21,ruby,True
bundler,1.0.0.beta.5,2010-07-13,ruby,True
bundler,1.0.0.beta.4,2010-07-10,ruby,True
bundler,1.0.0.beta.3,2010-07-10,ruby,True
bundler,1.0.0.beta.2,2010-06-29,ruby,True
bundler,1.0.0.beta.1,2010-06-08,ruby,True
bundler,0.9.26,2010-06-08,ruby,False
bundler,0.9.25,2010-05-03,ruby,False
bundler,0.9.24,2010-04-22,ruby,False
bundler,0.9.23,2010-04-21,ruby,False
bundler,0.9.22,2010-04-20,ruby,False
bundler,0.9.21,2010-04-17,ruby,False
bundler,0.9.20,2010-04-16,ruby,False
bundler,0.9.19,2010-04-12,ruby,False
bundler,0.9.18,2010-04-09,ruby,False
bundler,0.9.17,2010-04-07,ruby,False
bundler,0.9.16,2010-04-03,ruby,False
bundler,0.9.15,2010-04-02,ruby,False
bundler,0.9.14,2010-03-30,ruby,False
bundler,0.9.13,2010-03-24,ruby,False
bundler,0.9.12,2010-03-18,ruby,False
bundler,0.9.11,2010-03-09,ruby,False
bundler,0.9.10,2010-03-01,ruby,False
bundler,0.9.9,2010-02-25,ruby,False
bundler,0.9.8,2010-02-25,ruby,False
bundler,0.9.7,2010-02-18,ruby,False
bundler,0.9.6,2010-02-17,ruby,False
bundler,0.9.5,2010-02-12,ruby,False
bundler,0.9.4,2010-02-11,ruby,False
bundler,0.9.3,2010-02-06,ruby,False
bundler,0.9.2,2010-02-04,ruby,False
bundler,0.9.1,2010-02-04,ruby,False
bundler,0.9.1.pre1,2010-02-04,ruby,True
bundler,0.9.0,2010-02-04,ruby,False
bundler,0.9.0.pre5,2010-02-04,ruby,True
bundler,0.9.0.pre4,2010-02-02,ruby,True
bundler,0.9.0.pre3,2010-02-01,ruby,True
bundler,0.9.0.pre2,2010-02-01,ruby,True
bundler,0.9.0.pre1,2010-01-31,ruby,True
bundler,0.8.1,2010-01-06,ruby,False
bundler,0.8.0,2010-01-05,ruby,False
bundler,0.7.3.pre2,2010-01-04,ruby,True
bundler,0.7.3.pre,2010-01-03,ruby,True
bundler,0.7.2,2009-12-19,ruby,False
bundler,0.7.1,2009-12-07,ruby,False
bundler,0.7.0,2009-11-06,ruby,False
bundler,0.6.0,2009-09-24,ruby,False
bundler,0.5.0,2009-09-24,ruby,False
bundler,0.4.1,2009-08-20,ruby,False
bundler,0.4.0,2009-08-19,ruby,False
bundler,0.3.1,2009-08-04,ruby,False
bundler,0.3.0,2009-08-04,ruby,False
aws-sdk-core,3.254.1,2026-08-06,ruby,False
aws-sdk-core,3.254.0,2026-07-09,ruby,False
aws-sdk-core,3.253.0,2026-07-09,ruby,False
aws-sdk-core,3.252.0,2026-06-10,ruby,False
aws-sdk-core,3.251.0,2026-06-02,ruby,False
aws-sdk-core,3.250.0,2026-05-28,ruby,False
aws-sdk-core,3.249.0,2026-05-22,ruby,False
aws-sdk-core,3.248.0,2026-05-21,ruby,False
aws-sdk-core,3.247.0,2026-05-13,ruby,False
aws-sdk-core,3.246.0,2026-04-23,ruby,False
aws-sdk-core,3.245.0,2026-04-17,ruby,False
aws-sdk-core,3.244.0,2026-03-18,ruby,False
aws-sdk-core,3.243.0,2026-03-05,ruby,False
aws-sdk-core,3.242.0,2026-02-02,ruby,False
aws-sdk-core,3.241.4,2026-01-16,ruby,False
aws-sdk-core,3.241.3,2026-01-08,ruby,False
aws-sdk-core,3.241.2,2026-01-07,ruby,False
aws-sdk-core,3.241.1,2026-01-06,ruby,False
aws-sdk-core,3.241.0,2026-01-05,ruby,False
aws-sdk-core,3.240.0,2025-12-16,ruby,False
aws-sdk-core,3.239.2,2025-11-25,ruby,False
aws-sdk-core,3.239.1,2025-11-21,ruby,False
aws-sdk-core,3.239.0,2025-11-20,ruby,False
aws-sdk-core,3.238.0,2025-11-19,ruby,False
aws-sdk-core,3.237.0,2025-11-10,ruby,False
aws-sdk-core,3.236.0,2025-10-30,ruby,False
aws-sdk-core,3.235.0,2025-10-24,ruby,False
aws-sdk-core,3.234.0,2025-10-21,ruby,False
aws-sdk-core,3.233.0,2025-09-23,ruby,False
aws-sdk-core,3.232.0,2025-08-28,ruby,False
aws-sdk-core,3.231.0,2025-08-26,ruby,False
aws-sdk-core,3.230.0,2025-08-21,ruby,False
aws-sdk-core,3.229.0,2025-08-04,ruby,False
aws-sdk-core,3.228.0,2025-07-31,ruby,False
aws-sdk-core,3.227.0,2025-07-21,ruby,False
aws-sdk-core,3.226.3,2025-07-17,ruby,False
aws-sdk-core,3.226.2,2025-07-01,ruby,False
aws-sdk-core,3.226.1,2025-06-24,ruby,False
aws-sdk-core,3.226.0,2025-06-17,ruby,False
aws-sdk-core,3.225.2,2025-06-10,ruby,False
aws-sdk-core,3.225.1,2025-06-05,ruby,False
aws-sdk-core,3.225.0,2025-06-02,ruby,False
aws-sdk-core,3.224.1,2025-05-28,ruby,False
aws-sdk-core,3.224.0,2025-05-12,ruby,False
aws-sdk-core,3.223.0,2025-05-01,ruby,False
aws-sdk-core,3.222.3,2025-04-28,ruby,False
aws-sdk-core,3.222.2,2025-04-16,ruby,False
aws-sdk-core,3.222.1,2025-03-28,ruby,False
aws-sdk-core,3.222.0,2025-03-27,ruby,False
aws-sdk-core,3.221.0,2025-03-24,ruby,False
aws-sdk-core,3.220.2,2025-03-20,ruby,False
aws-sdk-core,3.220.1,2025-03-06,ruby,False
aws-sdk-core,3.220.0,2025-03-04,ruby,False
aws-sdk-core,3.219.0,2025-02-18,ruby,False
aws-sdk-core,3.218.1,2025-02-07,ruby,False
aws-sdk-core,3.218.0,2025-02-06,ruby,False
aws-sdk-core,3.217.1,2025-01-30,ruby,False
aws-sdk-core,3.217.0,2025-01-24,ruby,False
aws-sdk-core,3.216.1,2025-01-22,ruby,False
