gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
rex-powershell,0.1.105,3358621,83.1,54,65,True,README.md,1426,False,True,0,2,https://www.rubydoc.info/gems/rex-powershell/0.1.103,rubydoc.info,True,https://github.com/rapid7/rex-powershell,,,,,https://github.com/rapid7/rex-powershell
aws-sdk-qconnect,1.59.0,9423485,83.1,113,136,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-qconnect/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-qconnect,,https://github.com/aws/aws-sdk-ruby
pathutil,0.16.2,31370577,83.1,49,59,False,,0,False,True,0,0,https://www.rubydoc.info/gems/pathutil/0.16.2,rubydoc.info,True,http://github.com/envygeeks/pathutil,,,,,https://github.com/envygeeks/pathutil
virtus,2.0.0,130058206,83.0,181,218,True,README.md,14156,True,True,0,4,https://www.rubydoc.info/gems/virtus/2.0.0,rubydoc.info,True,https://github.com/solnic/virtus,,https://github.com/solnic/virtus/wiki,,https://github.com/solnic/virtus/issues,https://github.com/solnic/virtus
net-ftp,0.3.9,26520209,83.0,78,94,True,README.md,1523,False,True,0,2,,,False,https://github.com/ruby/net-ftp,,,,,https://github.com/ruby/net-ftp
aws-sdk-emr,1.135.0,93439795,83.0,78,94,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-emr/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-emr,,https://github.com/aws/aws-sdk-ruby
cookiejar,0.3.4,42993783,83.0,39,47,True,README.markdown,1564,False,True,0,0,http://rdoc.info/projects/dwaite/cookiejar,rdoc.info,True,http://alkaline-solutions.com,,,http://github.com/dwaite/cookiejar,http://github.com/dwaite/cookiejar/issues,https://github.com/dwaite/cookiejar
set,1.1.3,51093257,83.0,44,53,True,README.md,2792,True,True,0,3,,,False,https://github.com/ruby/set,https://github.com/ruby/set/blob/v1.1.3/CHANGELOG.md,,,,https://github.com/ruby/set
artifactory,3.0.17,115903593,83.0,151,182,False,,0,False,True,0,0,https://www.rubydoc.info/gems/artifactory/3.0.17,rubydoc.info,True,https://github.com/chef/artifactory-client,,,https://github.com/opscode/artifactory-client,https://github.com/opscode/artifactory-client/issues,https://github.com/opscode/artifactory-client
localhost,1.8.0,3015828,82.9,34,41,True,readme.md,3141,False,True,0,3,https://socketry.github.io/localhost/,socketry.github.io,False,https://github.com/socketry/localhost,,,https://github.com/socketry/localhost.git,,https://github.com/socketry/localhost
google-ads-common,3.0.0,11573541,82.9,194,234,True,README.md,2325,True,False,0,1,https://www.rubydoc.info/gems/google-ads-common/3.0.0,rubydoc.info,True,https://github.com/googleads/google-api-ads-ruby,,,https://github.com/googleads/google-api-ads-ruby/tree/master/ads_common,https://github.com/googleads/google-api-ads-ruby/issues,https://github.com/googleads/google-api-ads-ruby
google-cloud-storage,1.62.0,235748336,82.9,407,491,False,,0,True,True,0,7,http://googlecloudplatform.github.io/google-cloud-ruby/#/docs/google-cloud-storage/latest,googlecloudplatform.github.io,False,https://github.com/googleapis/google-cloud-ruby/tree/master/google-cloud-storage,,,,https://github.com/GoogleCloudPlatform/google-cloud-ruby/labels/API%3A%20storage,https://github.com/googleapis/google-cloud-ruby
aws-sdk-networkfirewall,1.97.0,44578406,82.9,102,123,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-networkfirewall/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-networkfirewall,,https://github.com/aws/aws-sdk-ruby
octokit,10.0.0,389392733,82.9,598,721,True,README.md,33652,False,True,0,3,https://www.rubydoc.info/gems/octokit/10.0.0,rubydoc.info,True,https://github.com/octokit/octokit.rb,,,,,https://github.com/octokit/octokit.rb
io-endpoint,0.18.0,7765738,82.8,101,122,True,readme.md,3709,False,True,0,5,https://socketry.github.io/io-endpoint,socketry.github.io,False,https://github.com/socketry/io-endpoint,https://github.com/socketry/io-endpoint/blob/main/releases.md,,https://github.com/socketry/io-endpoint.git,https://github.com/socketry/io-endpoint/issues,https://github.com/socketry/io-endpoint
aws-sdk-chimesdkvoice,1.60.0,20640989,82.8,101,122,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-chimesdkvoice/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-chimesdkvoice,,https://github.com/aws/aws-sdk-ruby
aws-sdk-mailmanager,1.47.0,7368909,82.6,71,86,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mailmanager/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-mailmanager,,https://github.com/aws/aws-sdk-ruby
karafka-testing,2.6.2,9896476,82.5,33,40,True,README.md,1051,True,False,0,5,https://karafka.io/docs,karafka.io,False,https://karafka.io,https://karafka.io/docs/Changelog-Karafka-Testing,,https://github.com/karafka/karafka-testing,https://github.com/karafka/karafka-testing/issues,https://github.com/karafka/karafka-testing
aws-sdk-glacier,1.96.0,87896509,82.5,193,234,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-glacier/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-glacier,,https://github.com/aws/aws-sdk-ruby
aws-sdk-batch,1.151.0,94256567,82.5,52,63,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-batch/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-batch,,https://github.com/aws/aws-sdk-ruby
aws-sdk-iotfleetwise,1.66.0,22320760,82.4,89,108,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iotfleetwise/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iotfleetwise,,https://github.com/aws/aws-sdk-ruby
win32-taskscheduler,2.0.4,456929,82.4,70,85,False,,0,False,False,0,0,https://www.rubydoc.info/gems/win32-taskscheduler/2.0.4,rubydoc.info,True,https://github.com/chef/win32-taskscheduler,,,,,https://github.com/chef/win32-taskscheduler
async-http,0.103.0,18344869,82.3,237,288,True,readme.md,5016,False,True,0,7,https://socketry.github.io/async-http/,socketry.github.io,False,https://github.com/socketry/async-http,,,https://github.com/socketry/async-http.git,,https://github.com/socketry/async-http
ratatui_ruby,1.5.0,55559,82.3,385,468,False,,0,False,True,0,17,https://www.ratatui-ruby.dev/docs/,ratatui-ruby.dev,False,https://www.ratatui-ruby.dev,https://github.com/setdef/RatatuiRuby/blob/stable/CHANGELOG.md,https://man.sr.ht/~kerrick/ratatui_ruby/,https://github.com/setdef/RatatuiRuby,https://forum.setdef.com/tags/c/ratatui-ruby/6/bug,https://github.com/setdef/ratatuiruby
aws-sdk-devicefarm,1.110.0,88576225,82.2,97,118,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-devicefarm/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-devicefarm,,https://github.com/aws/aws-sdk-ruby
aws-sdk-rds,1.321.0,120083591,82.1,922,1123,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-rds/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-rds,,https://github.com/aws/aws-sdk-ruby
aws-sdk-cleanroomsml,1.50.0,9399587,82.0,73,89,False,,0,True,True,0,2,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cleanroomsml/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cleanroomsml,,https://github.com/aws/aws-sdk-ruby
origin,2.3.1,10046153,81.9,158,193,True,README.md,312,True,True,0,2,https://www.rubydoc.info/gems/origin/2.3.1,rubydoc.info,True,http://mongoid.org,,,,,
gitlab,6.1.0,114534328,81.9,535,653,True,README.md,9054,True,True,0,3,,,False,https://github.com/NARKOZ/gitlab,https://github.com/NARKOZ/gitlab/releases,,,https://github.com/NARKOZ/gitlab/issues,https://github.com/narkoz/gitlab
