gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
forgery,0.8.1,7331109,http://sevenwire.github.com/forgery,rubygems:custom_doc_site,30.8,40.0,130.0,True,0,http://sevenwire.github.com/forgery,sevenwire.github.com,False,,,,,,http://github.com/sevenwire/forgery,,http://wiki.github.com/sevenwire/forgery,https://github.com/sevenwire/forgery
sequel_pg,1.20.0,7249775,https://github.com/jeremyevans/sequel_pg/blob/master/README.rdoc,rubygems:custom_doc_site,67.6,25.0,37.0,True,0,https://github.com/jeremyevans/sequel_pg/blob/master/README.rdoc,github.com,False,,,,,,http://github.com/jeremyevans/sequel_pg,https://github.com/jeremyevans/sequel_pg/blob/master/CHANGELOG,,https://github.com/jeremyevans/sequel_pg
padrino-helpers,0.16.1,7102826,http://github.com/padrino/padrino-framework/blob/master/README.rdoc,rubygems:custom_doc_site,48.6,119.0,245.0,True,0,http://github.com/padrino/padrino-framework/blob/master/README.rdoc,github.com,False,,,,,,http://www.padrinorb.com,,http://wiki.github.com/padrino/padrino-framework,https://github.com/padrino/padrino-framework
anycable,1.6.4,6927073,https://docs.anycable.io/,rubygems:custom_doc_site,,0.0,0.0,True,0,https://docs.anycable.io/,docs.anycable.io,False,,,,,,https://anycable.io/,https://github.com/anycable/anycable-rb/blob/master/CHANGELOG.md,,https://github.com/anycable/anycable-rb
anycable-core,1.6.4,6792022,https://docs.anycable.io/,rubygems:custom_doc_site,11.0,23.0,210.0,True,0,https://docs.anycable.io/,docs.anycable.io,False,,,,,,https://anycable.io/,https://github.com/anycable/anycable-rb/blob/master/CHANGELOG.md,,https://github.com/anycable/anycable-rb
require-hooks,0.5.1,6783850,https://github.com/ruby-next/require-hooks/blob/master/README.md,rubygems:custom_doc_site,8.8,5.0,57.0,True,0,https://github.com/ruby-next/require-hooks/blob/master/README.md,github.com,False,,,,,,https://github.com/ruby-next/require-hooks,https://github.com/ruby-next/require-hooks/blob/master/CHANGELOG.md,,https://github.com/ruby-next/require-hooks
statesman,13.3.0,6605837,https://github.com/gocardless/statesman/blob/master/README.md,rubygems:custom_doc_site,9.6,16.0,166.0,True,1,https://github.com/gocardless/statesman/blob/master/README.md,github.com,False,,,,,,https://github.com/gocardless/statesman,https://github.com/gocardless/statesman/blob/master/CHANGELOG.md,,https://github.com/gocardless/statesman
pedump,0.7.6,6574346,http://pedump.me,rubygems:custom_doc_site,11.4,33.0,289.0,True,0,http://pedump.me,pedump.me,False,,,,,,http://github.com/zed-0xff/pedump,,http://pedump.info,https://github.com/zed-0xff/pedump
json-canonicalization,1.0.0,6393581,https://dryruby.github.io/json-canonicalization,rubygems:custom_doc_site,30.0,3.0,10.0,True,0,https://dryruby.github.io/json-canonicalization,dryruby.github.io,False,,,,,,https://github.com/dryruby/json-canonicalization,,,https://github.com/dryruby/json-canonicalization
rdf,3.3.4,6248600,https://ruby-rdf.github.io/rdf,rubygems:custom_doc_site,95.3,922.0,967.0,True,0,https://ruby-rdf.github.io/rdf,ruby-rdf.github.io,False,,,,,,https://github.com/ruby-rdf/rdf,,,https://github.com/ruby-rdf/rdf
valvat,2.0.1,5890780,https://github.com/yolk/valvat/blob/master/README.md,rubygems:custom_doc_site,2.9,5.0,171.0,False,0,https://github.com/yolk/valvat/blob/master/README.md,github.com,False,,,,,,https://github.com/yolk/valvat,https://github.com/yolk/valvat/blob/master/CHANGES.md,,https://github.com/yolk/valvat
line-bot-api,2.10.0,5519164,https://line.github.io/line-bot-sdk-ruby/,rubygems:custom_doc_site,96.2,1456.0,1514.0,True,0,https://line.github.io/line-bot-sdk-ruby/,line.github.io,False,,,,,,https://github.com/line/line-bot-sdk-ruby,https://github.com/line/line-bot-sdk-ruby/releases,,https://github.com/line/line-bot-sdk-ruby
bluecloth,2.2.0,5434568,http://deveiate.org/code/bluecloth/,rubygems:custom_doc_site,100.0,3.0,3.0,True,0,http://deveiate.org/code/bluecloth/,deveiate.org,False,,,,,,http://deveiate.org/projects/BlueCloth,,http://deveiate.org/projects/BlueCloth/wiki,
fakeweb,1.3.0,5306233,http://fakeweb.rubyforge.org,rubygems:custom_doc_site,18.8,9.0,48.0,True,0,http://fakeweb.rubyforge.org,fakeweb.rubyforge.org,False,,,,,,http://github.com/chrisk/fakeweb,,,https://github.com/chrisk/fakeweb
rubytree,2.2.2,4904737,http://rubytree.anupamsg.me/rdoc/index.html,rubygems:custom_doc_site,90.0,72.0,80.0,True,0,http://rubytree.anupamsg.me/rdoc/index.html,rubytree.anupamsg.me,False,,,,,,http://rubytree.anupamsg.me,,https://github.com/evolve75/RubyTree/wiki,https://github.com/evolve75/rubytree
json-ld,3.3.2,4887254,https://ruby-rdf.github.io/json-ld,rubygems:custom_doc_site,80.0,184.0,230.0,True,0,https://ruby-rdf.github.io/json-ld,ruby-rdf.github.io,False,,,,,,https://github.com/ruby-rdf/json-ld,,,https://github.com/ruby-rdf/json-ld
m,1.7.0,4542600,http://quaran.to/m/,rubygems:custom_doc_site,13.0,7.0,54.0,True,0,http://quaran.to/m/,quaran.to,False,,,,,,https://github.com/qrush/m,,,https://github.com/qrush/m
glob,0.5.0,4445556,https://github.com/fnando/glob/tree/v0.5.0/README.md,rubygems:custom_doc_site,0.0,0.0,22.0,True,0,https://github.com/fnando/glob/tree/v0.5.0/README.md,github.com,False,,,,,,https://github.com/fnando/glob,https://github.com/fnando/glob/tree/v0.5.0/CHANGELOG.md,,https://github.com/fnando/glob
judoscale-ruby,1.13.3,4393173,https://judoscale.com/docs,rubygems:custom_doc_site,5.1,4.0,79.0,False,0,https://judoscale.com/docs,judoscale.com,False,,,,,,https://judoscale.com,https://github.com/judoscale/judoscale-ruby/blob/main/CHANGELOG.md,,https://github.com/judoscale/judoscale-ruby
metasm,1.0.6,4388743,http://metasm.cr0.org/doc/,rubygems:custom_doc_site,32.0,1301.0,4071.0,True,19,http://metasm.cr0.org/doc/,metasm.cr0.org,False,,,,,,http://metasm.cr0.org,,,
google-apis-gmail_v1,0.53.0,4375910,https://googleapis.dev/ruby/google-apis-gmail_v1/v0.53.0,rubygems:custom_doc_site,69.9,135.0,193.0,False,0,https://googleapis.dev/ruby/google-apis-gmail_v1/v0.53.0,googleapis.dev,False,,,,,,https://github.com/google/google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client/tree/main/generated/google-apis-gmail_v1/CHANGELOG.md,,https://github.com/googleapis/google-api-ruby-client
async-http-faraday,0.23.0,4367767,https://socketry.github.io/async-http-faraday/,rubygems:custom_doc_site,58.3,21.0,36.0,True,0,https://socketry.github.io/async-http-faraday/,socketry.github.io,False,,,,,,https://github.com/socketry/async-http-faraday,https://github.com/socketry/async-http-faraday/blob/main/releases.md,,https://github.com/socketry/async-http
judoscale-rails,1.13.3,4327574,https://judoscale.com/docs,rubygems:custom_doc_site,0.0,0.0,4.0,False,0,https://judoscale.com/docs,judoscale.com,False,,,,,,https://judoscale.com,https://github.com/judoscale/judoscale-ruby/blob/main/CHANGELOG.md,,https://github.com/judoscale/judoscale-ruby
alba,4.0.0,4197310,https://okuramasafumi.github.io/alba/,rubygems:custom_doc_site,54.5,60.0,110.0,True,0,https://okuramasafumi.github.io/alba/,okuramasafumi.github.io,False,,,,,,https://github.com/okuramasafumi/alba,https://github.com/okuramasafumi/alba/blob/main/CHANGELOG.md,,https://github.com/okuramasafumi/alba
