gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
jrjackson,0.5.2,10194033,https://github.com/guyboertje/jrjackson/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/jrjackson/0.3.8,rubydoc.info,True,,,True,False,,http://github.com/guyboertje/jrjackson,,,https://github.com/guyboertje/jrjackson
march_hare,4.8.0,9653591,https://github.com/ruby-amqp/march_hare/tree/HEAD/docs,github:docs_folder,,,,False,0,https://www.rubydoc.info/gems/march_hare/4.8.0,rubydoc.info,True,docs,,False,False,https://github.com/ruby-amqp/march_hare/tree/main/docs/guides,https://github.com/ruby-amqp/march_hare,,,https://github.com/ruby-amqp/march_hare
wkhtmltopdf-binary-edge,0.12.6.0,9589917,https://github.com/pallymore/wkhtmltopdf-binary-edge/wiki,github:wiki,,0.0,0.0,False,0,https://www.rubydoc.info/gems/wkhtmltopdf-binary-edge/0.12.6.0,rubydoc.info,True,,,True,False,,https://github.com/pallymore/wkhtmltopdf-binary-edge,,,https://github.com/pallymore/wkhtmltopdf-binary-edge
unicorn-rails,2.2.1,9582537,https://github.com/samuelkadolph/unicorn-rails/wiki,github:wiki,0.0,0.0,3.0,False,0,https://www.rubydoc.info/gems/unicorn-rails/2.2.1,rubydoc.info,True,,,True,False,,https://github.com/samuelkadolph/unicorn-rails,,,https://github.com/samuelkadolph/unicorn-rails
hiera-dyml,0.0.4,9399742,https://github.com/provonet/hiera-dyml/wiki,github:wiki,0.0,0.0,3.0,False,0,,,False,,,True,False,,http://github.com/provonet/hiera-dyml,,,https://github.com/provonet/hiera-dyml
foreman-upstart-scaling,0.5.0,9008929,https://github.com/fabiokung/foreman-upstart-scaling/wiki,github:wiki,0.0,0.0,1.0,False,0,,,False,,,True,False,,http://github.com/fabiokung/foreman-upstart-scaling,,,https://github.com/fabiokung/foreman-upstart-scaling
lefthook,2.1.12,8883060,https://github.com/evilmartians/lefthook/tree/HEAD/docs,github:docs_folder,,0.0,0.0,False,0,https://www.rubydoc.info/gems/lefthook/2.1.12,rubydoc.info,True,docs,book.toml,False,True,http://lefthook.dev/,https://github.com/evilmartians/lefthook,,,https://github.com/evilmartians/lefthook
jquery-datatables-rails,3.4.0,8559225,https://github.com/rweng/jquery-datatables-rails/wiki,github:wiki,0.0,0.0,6.0,False,0,https://www.rubydoc.info/gems/jquery-datatables-rails/3.4.0,rubydoc.info,True,,,True,False,,https://github.com/rweng/jquery-datatables-rails,,,https://github.com/rweng/jquery-datatables-rails
jruby-stdin-channel,0.2.0,7870234,https://github.com/colinsurprenant/jruby-stdin-channel/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/jruby-stdin-channel/0.2.0,rubydoc.info,True,,,True,False,,http://github.com/colinsurprenant/jruby-stdin-channel,,,https://github.com/colinsurprenant/jruby-stdin-channel
jekyll-include-cache,0.2.2,7685142,https://github.com/benbalter/jekyll-include-cache/tree/HEAD/docs,github:docs_folder,0.0,0.0,11.0,False,0,https://www.rubydoc.info/gems/jekyll-include-cache/0.2.2,rubydoc.info,True,docs,,False,False,,https://github.com/benbalter/jekyll-include-cache,,,https://github.com/benbalter/jekyll-include-cache
yaml-lint,0.1.2,7385635,https://github.com/pryz/yaml-lint/wiki,github:wiki,0.0,0.0,9.0,False,0,,,False,,,True,False,,https://github.com/Pryz/yaml-lint,,,https://github.com/pryz/yaml-lint
paquet,0.2.1,7230443,https://github.com/elastic/logstash/tree/HEAD/docs,github:docs_folder,0.0,0.0,28.0,False,0,https://www.rubydoc.info/gems/paquet/0.2.1,rubydoc.info,True,docs,,False,False,https://www.elastic.co/products/logstash,https://github.com/elastic/logstash,,,https://github.com/elastic/logstash
linux-kstat,0.2.8,7015610,https://github.com/djberg96/linux-kstat/wiki,github:wiki,,,,False,0,,,False,,,True,False,,https://github.com/djberg96/linux-kstat,,,https://github.com/djberg96/linux-kstat
csv-safe,3.3.3,6306140,https://github.com/zvory/csv-safe/wiki,github:wiki,0.0,0.0,7.0,False,0,,,False,,,True,False,,https://github.com/zvory/csv-safe,,,https://github.com/zvory/csv-safe
activerecord-jdbc-adapter,72.1,5879599,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/activerecord-jdbc-adapter/51.0,rubydoc.info,True,,,True,False,,https://github.com/jruby/activerecord-jdbc-adapter,,,https://github.com/jruby/activerecord-jdbc-adapter
escape_code,0.2,4203864,https://github.com/javawizard/escape_code/wiki,github:wiki,0.0,0.0,21.0,False,0,https://www.rubydoc.info/gems/escape_code/0.2,rubydoc.info,True,,,True,False,,https://github.com/javawizard/escape_code,,,https://github.com/javawizard/escape_code
protobug,0.2.0,3595976,https://github.com/segiddins/protobug/wiki,github:wiki,0.0,0.0,179.0,True,0,,,False,,,True,False,,https://github.com/segiddins/protobug,,,https://github.com/segiddins/protobug
protobug_well_known_protos,0.2.0,3591520,https://github.com/segiddins/protobug/wiki,github:wiki,0.0,0.0,55.0,False,0,https://www.rubydoc.info/gems/protobug_well_known_protos/0.2.0,rubydoc.info,True,,,True,False,,https://github.com/segiddins/protobug/blob/v0.2.0/gen/protobug_well_known_protos,,,https://github.com/segiddins/protobug
protobug_googleapis_field_behavior_protos,0.2.0,3591259,https://github.com/segiddins/protobug/wiki,github:wiki,0.0,0.0,1.0,False,0,https://www.rubydoc.info/gems/protobug_googleapis_field_behavior_protos/0.2.0,rubydoc.info,True,,,True,False,,https://github.com/segiddins/protobug/blob/v0.2.0/gen/protobug_googleapis_field_behavior_protos,,,https://github.com/segiddins/protobug
protobug_sigstore_protos,0.2.0,3590619,https://github.com/segiddins/protobug/wiki,github:wiki,0.0,0.0,7.0,False,0,https://www.rubydoc.info/gems/protobug_sigstore_protos/0.2.0,rubydoc.info,True,,,True,False,,https://github.com/segiddins/protobug/blob/v0.2.0/gen/protobug_sigstore_protos,,,https://github.com/segiddins/protobug
sigstore-cli,0.2.3,3561181,https://github.com/sigstore/sigstore-ruby/wiki,github:wiki,0.0,0.0,20.0,False,0,,,False,,,True,False,,https://github.com/sigstore/sigstore-ruby,,,https://github.com/sigstore/sigstore-ruby
rex-exploitation,0.1.44,3219060,https://github.com/rapid7/rex-exploitation/wiki,github:wiki,,0.0,0.0,False,0,https://www.rubydoc.info/gems/rex-exploitation/0.1.44,rubydoc.info,True,,,True,False,,https://github.com/rapid7/rex-exploitation,,,https://github.com/rapid7/rex-exploitation
jdbc-mysql,9.1.0,3209855,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,0.0,0.0,3.0,True,0,https://www.rubydoc.info/gems/jdbc-mysql/9.1.0.1,rubydoc.info,True,,,True,False,,http://github.com/jruby/activerecord-jdbc-adapter/tree/master/jdbc-mysql,,,https://github.com/jruby/activerecord-jdbc-adapter
jdbc-postgres,42.7.11,2806940,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,0.0,0.0,4.0,True,0,https://www.rubydoc.info/gems/jdbc-postgres/42.7.11,rubydoc.info,True,,,True,False,,http://github.com/jruby/activerecord-jdbc-adapter/tree/master/jdbc-postgres,,,https://github.com/jruby/activerecord-jdbc-adapter
activerecord-jdbcpostgresql-adapter,72.1,2747463,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/activerecord-jdbcpostgresql-adapter/50.0,rubydoc.info,True,,,True,False,,https://github.com/jruby/activerecord-jdbc-adapter,,,https://github.com/jruby/activerecord-jdbc-adapter
activerecord-jdbcmysql-adapter,72.1,2470523,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/activerecord-jdbcmysql-adapter/51.0,rubydoc.info,True,,,True,False,,https://github.com/jruby/activerecord-jdbc-adapter,,,https://github.com/jruby/activerecord-jdbc-adapter
jdbc-sqlite3,3.46.1.1,2468955,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,0.0,0.0,3.0,True,0,https://www.rubydoc.info/gems/jdbc-sqlite3/3.46.1.1,rubydoc.info,True,,,True,False,,http://github.com/jruby/activerecord-jdbc-adapter/tree/master/jdbc-sqlite3,,,https://github.com/jruby/activerecord-jdbc-adapter
activerecord-jdbcsqlite3-adapter,72.1,2246404,https://github.com/jruby/activerecord-jdbc-adapter/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/activerecord-jdbcsqlite3-adapter/51.0,rubydoc.info,True,,,True,False,,https://github.com/jruby/activerecord-jdbc-adapter,,,https://github.com/jruby/activerecord-jdbc-adapter
rack-host-redirect,1.3.0,2147322,https://github.com/gbuesing/rack-host-redirect/wiki,github:wiki,0.0,0.0,5.0,False,0,https://www.rubydoc.info/gems/rack-host-redirect/1.3.0,rubydoc.info,True,,,True,False,,https://github.com/gbuesing/rack-host-redirect,,,https://github.com/gbuesing/rack-host-redirect
leaflet-rails,1.9.5,1785427,https://rubygems.org/gems/leaflet-rails,github:homepage,0.0,0.0,2.0,False,0,https://www.rubydoc.info/gems/leaflet-rails/1.9.5,rubydoc.info,True,,,False,False,https://rubygems.org/gems/leaflet-rails,,,,https://github.com/axyjo/leaflet-rails
aroi,1.0.0,1294420,https://github.com/instructure/aroi/wiki,github:wiki,0.0,0.0,6.0,False,0,https://www.rubydoc.info/gems/aroi/1.0.0,rubydoc.info,True,,,True,False,,https://github.com/instructure/aroi,,,https://github.com/instructure/aroi
inspec-core-bin,7.2.1,1030537,http://inspec.io,github:pages,,0.0,0.0,True,0,https://www.rubydoc.info/gems/inspec-core-bin/7.1.7,rubydoc.info,True,,,True,True,http://inspec.io,https://github.com/inspec/inspec/tree/main/inspec-bin,,,https://github.com/inspec/inspec
outrigger,3.2.0,608518,https://github.com/instructure/outrigger/wiki,github:wiki,0.0,0.0,12.0,False,0,https://www.rubydoc.info/gems/outrigger/3.2.0,rubydoc.info,True,,,True,False,,https://github.com/instructure/outrigger,,,https://github.com/instructure/outrigger
canvas_statsd,2.0.4,470949,https://github.com/instructure/canvas_statsd/wiki,github:wiki,0.0,0.0,55.0,False,0,https://www.rubydoc.info/gems/canvas_statsd/2.0.4,rubydoc.info,True,,,True,False,,https://github.com/instructure/canvas_statsd,,,https://github.com/instructure/canvas_statsd
starry,0.2.0,219274,https://github.com/takemar/starry/wiki,github:wiki,0.0,0.0,39.0,False,0,,,False,,,True,False,,https://github.com/takemar/starry,,,https://github.com/takemar/starry
kramdown-syntax-coderay,1.0.1,179552,https://github.com/kramdown/syntax-coderay/wiki,github:wiki,0.0,0.0,3.0,False,0,https://www.rubydoc.info/gems/kramdown-syntax-coderay/1.0.1,rubydoc.info,True,,,True,False,,https://github.com/kramdown/syntax-coderay,,,https://github.com/kramdown/syntax-coderay
rubocop-inst,1.2.3,151778,https://github.com/instructure/rubocop-inst/wiki,github:wiki,,0.0,0.0,False,0,,,False,,,True,False,,https://github.com/instructure/rubocop-inst,,,https://github.com/instructure/rubocop-inst
huginn_agent,0.6.4,111812,https://github.com/huginn/huginn/tree/HEAD/doc,github:docs_folder,0.0,0.0,23.0,False,0,https://www.rubydoc.info/gems/huginn_agent/0.6.4,rubydoc.info,True,doc,,True,False,,https://github.com/huginn/huginn,,,https://github.com/huginn/huginn
diaspora_federation-test,1.2.0,89977,https://github.com/diaspora/diaspora_federation/tree/HEAD/docs,github:docs_folder,,0.0,0.0,False,0,https://www.rubydoc.info/gems/diaspora_federation-test/1.2.0,rubydoc.info,True,docs,,False,True,,https://github.com/diaspora/diaspora_federation,,https://wiki.diasporafoundation.org,https://github.com/diaspora/diaspora_federation
js_image_paths,0.2.0,89183,https://github.com/jhass/js_image_paths/wiki,github:wiki,0.0,0.0,4.0,False,0,https://www.rubydoc.info/gems/js_image_paths/0.2.0,rubydoc.info,True,,,True,False,,https://github.com/jhass/js_image_paths,,,https://github.com/jhass/js_image_paths
jgeoip,0.2.5,86456,https://github.com/tobsch/jgeoip/wiki,github:wiki,,,,False,0,https://www.rubydoc.info/gems/jgeoip/0.2.5,rubydoc.info,True,,,True,False,,http://github.com/tobsch/jgeoip,,,https://github.com/tobsch/jgeoip
yabeda-actioncable,0.2.2,18505,https://github.com/monorkin/yabeda-actioncable/wiki,github:wiki,0.0,0.0,29.0,False,0,,,False,,,True,False,,https://github.com/monorkin/yabeda-actioncable,https://github.com/monorkin/yabeda-actioncable/blob/main/CHANGELOG.md,,https://github.com/monorkin/yabeda-actioncable
