package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
bootstrap-sass,3.4.1,76564687,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/bootstrap-sass/3.4.1,README.md,,,,https://github.com/twbs/bootstrap-sass,,https://github.com/twbs/bootstrap-sass/wiki,,https://github.com/twbs/bootstrap-sass,,https://rubygems.org/gems/bootstrap-sass,39.4
openid_connect,2.5.0,76472108,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/openid_connect/2.5.0,README.rdoc,,,,https://github.com/nov/openid_connect,,https://github.com/nov/openid_connect/wiki,,https://github.com/nov/openid_connect,,https://rubygems.org/gems/openid_connect,0.0
rollbar,3.8.0,76096363,hand-written site; tool-generated; readme; docs folder; github wiki; homepage,5,https://docs.rollbar.com/docs/ruby,https://rubydoc.info/gems/rollbar,README.md,Yes,docs/configuration.md; docs/plugins.md,,https://github.com/rollbar/rollbar-gem,,https://github.com/rollbar/rollbar-gem/wiki,,https://rollbar.com/,https://github.com/rollbar/rollbar-gem/releases,https://rubygems.org/gems/rollbar,6.4
terrapin,1.1.1,75862411,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/terrapin/1.1.1,README.md,,,,https://github.com/thoughtbot/terrapin,,https://github.com/thoughtbot/terrapin/wiki,,https://github.com/thoughtbot/terrapin,,https://rubygems.org/gems/terrapin,0.0
aws-sdk-securityhub,1.163.0,75841178,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-securityhub,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-securityhub/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-securityhub,86.4
mustermann-grape,1.1.0,75721287,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/mustermann-grape/1.1.0,README.md,,,,https://github.com/ruby-grape/mustermann-grape,,https://github.com/ruby-grape/mustermann-grape/wiki,,https://github.com/ruby-grape/mustermann-grape,,https://rubygems.org/gems/mustermann-grape,
toml-rb,4.2.1,75179353,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/toml-rb/4.2.1,README.md,,,,https://github.com/emancu/toml-rb,,https://github.com/emancu/toml-rb/wiki,,https://github.com/emancu/toml-rb,,https://rubygems.org/gems/toml-rb,13.2
ohai,19.1.40,75045172,hand-written site; tool-generated; github wiki; homepage,4,https://docs.chef.io/ohai.html,https://rubydoc.info/gems/ohai,,,,,https://github.com/chef/ohai,,https://github.com/chef/ohai/wiki,,https://github.com/chef/ohai/,,https://rubygems.org/gems/ohai,48.6
aws-sdk-signer,1.87.0,75038934,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-signer,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-signer/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-signer,69.1
grpc-google-iam-v1,1.12.0,74830161,tool-generated; readme; github wiki; homepage,3,,https://www.rubydoc.info/gems/grpc-google-iam-v1/1.12.0,README.md,,,,https://github.com/googleapis/common-protos-ruby,,https://github.com/googleapis/common-protos-ruby/wiki,,https://github.com/googleapis/common-protos-ruby,,https://rubygems.org/gems/grpc-google-iam-v1,
aws-sdk-route53resolver,1.102.0,74627850,tool-generated; homepage,3,,https://rubydoc.info/gems/aws-sdk-route53resolver,,,,,https://github.com/aws/aws-sdk-ruby,,,,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-route53resolver/CHANGELOG.md,https://rubygems.org/gems/aws-sdk-route53resolver,79.4
opentelemetry-api,1.11.0,74593910,tool-generated; readme; github wiki; homepage,4,,https://rubydoc.info/gems/opentelemetry-api/1.11.0,README.md,,,,https://github.com/open-telemetry/opentelemetry-ruby,,https://github.com/open-telemetry/opentelemetry-ruby/wiki,,https://github.com/open-telemetry/opentelemetry-ruby,https://rubydoc.info/gems/opentelemetry-api/1.11.0/file/CHANGELOG.md,https://rubygems.org/gems/opentelemetry-api,75.7
fluent-plugin-rewrite-tag-filter,2.4.0,74541051,hand-written site; readme; github wiki; homepage,3,https://github.com/y-ken/fluent-plugin-rewrite-tag-filter#readme,,README.md,,,,https://github.com/fluent/fluent-plugin-rewrite-tag-filter,,https://github.com/fluent/fluent-plugin-rewrite-tag-filter/wiki,,https://github.com/fluent/fluent-plugin-rewrite-tag-filter,,https://rubygems.org/gems/fluent-plugin-rewrite-tag-filter,0.0
mixlib-cli,2.1.8,74320309,tool-generated; github wiki; homepage,3,,https://www.rubydoc.info/gems/mixlib-cli/2.1.8,,,,,https://github.com/chef/mixlib-cli,,https://github.com/chef/mixlib-cli/wiki,,https://github.com/chef/mixlib-cli,,https://rubygems.org/gems/mixlib-cli,64.7
