package,version,documentation,doc_coverage_pct,obtainable_by_download,download_url,size_kb
aws-sdk-backup,1.117.0,in the package,89.5,Yes,https://rubygems.org/downloads/aws-sdk-backup-1.117.0.gem,165.0
aws-sdk-backupgateway,1.56.0,in the package,73.7,Yes,https://rubygems.org/downloads/aws-sdk-backupgateway-1.56.0.gem,37.0
aws-sdk-batch,1.151.0,in the package,82.5,Yes,https://rubygems.org/downloads/aws-sdk-batch-1.151.0.gem,170.5
aws-sdk-bedrockruntime,1.83.0,in the package,33.6,Yes,https://rubygems.org/downloads/aws-sdk-bedrockruntime-1.83.0.gem,105.0
aws-sdk-billingconductor,1.60.0,in the package,78.1,Yes,https://rubygems.org/downloads/aws-sdk-billingconductor-1.60.0.gem,55.5
aws-sdk-braket,1.74.0,in the package,64.7,Yes,https://rubygems.org/downloads/aws-sdk-braket-1.74.0.gem,44.0
aws-sdk-budgets,1.111.0,in the package,67.2,Yes,https://rubygems.org/downloads/aws-sdk-budgets-1.111.0.gem,54.0
aws-sdk-chime,1.120.0,in the package,81.7,Yes,https://rubygems.org/downloads/aws-sdk-chime-1.120.0.gem,59.5
aws-sdk-chimesdkidentity,1.60.0,in the package,74.6,Yes,https://rubygems.org/downloads/aws-sdk-chimesdkidentity-1.60.0.gem,39.0
aws-sdk-chimesdkmediapipelines,1.57.0,in the package,77.8,Yes,https://rubygems.org/downloads/aws-sdk-chimesdkmediapipelines-1.57.0.gem,68.5
aws-sdk-chimesdkmeetings,1.68.0,in the package,74.1,Yes,https://rubygems.org/downloads/aws-sdk-chimesdkmeetings-1.68.0.gem,44.0
aws-sdk-chimesdkmessaging,1.67.0,in the package,80.4,Yes,https://rubygems.org/downloads/aws-sdk-chimesdkmessaging-1.67.0.gem,59.0
aws-sdk-chimesdkvoice,1.60.0,in the package,82.8,Yes,https://rubygems.org/downloads/aws-sdk-chimesdkvoice-1.60.0.gem,83.0
aws-sdk-cleanrooms,1.79.0,in the package,88.7,Yes,https://rubygems.org/downloads/aws-sdk-cleanrooms-1.79.0.gem,162.5
aws-sdk-cloud9,1.105.0,in the package,51.4,Yes,https://rubygems.org/downloads/aws-sdk-cloud9-1.105.0.gem,34.0
aws-sdk-cloudcontrolapi,1.56.0,in the package,53.6,Yes,https://rubygems.org/downloads/aws-sdk-cloudcontrolapi-1.56.0.gem,35.5
aws-sdk-clouddirectory,1.93.0,in the package,71.1,Yes,https://rubygems.org/downloads/aws-sdk-clouddirectory-1.93.0.gem,83.0
aws-sdk-cloudformation,1.157.0,in the package,79.3,Yes,https://rubygems.org/downloads/aws-sdk-cloudformation-1.157.0.gem,218.5
aws-sdk-cloudfront,1.152.0,in the package,66.2,Yes,https://rubygems.org/downloads/aws-sdk-cloudfront-1.152.0.gem,243.5
aws-sdk-cloudhsm,1.88.0,in the package,69.2,Yes,https://rubygems.org/downloads/aws-sdk-cloudhsm-1.88.0.gem,33.0
aws-sdk-cloudhsmv2,1.94.0,in the package,65.2,Yes,https://rubygems.org/downloads/aws-sdk-cloudhsmv2-1.94.0.gem,38.5
aws-sdk-cloudsearch,1.91.0,in the package,66.0,Yes,https://rubygems.org/downloads/aws-sdk-cloudsearch-1.91.0.gem,45.0
aws-sdk-cloudsearchdomain,1.74.0,in the package,61.1,Yes,https://rubygems.org/downloads/aws-sdk-cloudsearchdomain-1.74.0.gem,35.5
aws-sdk-cloudtrail,1.125.0,in the package,40.6,Yes,https://rubygems.org/downloads/aws-sdk-cloudtrail-1.125.0.gem,117.0
aws-sdk-cloudwatch,1.146.0,in the package,81.4,Yes,https://rubygems.org/downloads/aws-sdk-cloudwatch-1.146.0.gem,151.0
aws-sdk-cloudwatchevents,1.108.0,in the package,73.7,Yes,https://rubygems.org/downloads/aws-sdk-cloudwatchevents-1.108.0.gem,78.0
aws-sdk-cloudwatchevidently,1.53.0,in the package,78.8,Yes,https://rubygems.org/downloads/aws-sdk-cloudwatchevidently-1.53.0.gem,66.0
aws-sdk-cloudwatchlogs,1.162.0,in the package,73.2,Yes,https://rubygems.org/downloads/aws-sdk-cloudwatchlogs-1.162.0.gem,199.0
aws-sdk-cloudwatchrum,1.60.0,in the package,65.7,Yes,https://rubygems.org/downloads/aws-sdk-cloudwatchrum-1.60.0.gem,47.5
aws-sdk-codeartifact,1.78.0,in the package,81.0,Yes,https://rubygems.org/downloads/aws-sdk-codeartifact-1.78.0.gem,66.0
aws-sdk-codebuild,1.177.0,in the package,81.0,Yes,https://rubygems.org/downloads/aws-sdk-codebuild-1.177.0.gem,140.5
aws-sdk-codecatalyst,1.52.0,in the package,75.4,Yes,https://rubygems.org/downloads/aws-sdk-codecatalyst-1.52.0.gem,50.5
aws-sdk-codecommit,1.103.0,in the package,29.9,Yes,https://rubygems.org/downloads/aws-sdk-codecommit-1.103.0.gem,118.5
aws-sdk-codedeploy,1.103.0,in the package,30.7,Yes,https://rubygems.org/downloads/aws-sdk-codedeploy-1.103.0.gem,98.5
aws-sdk-codeguruprofiler,1.71.0,in the package,65.4,Yes,https://rubygems.org/downloads/aws-sdk-codeguruprofiler-1.71.0.gem,48.5
aws-sdk-codegurureviewer,1.82.0,in the package,61.2,Yes,https://rubygems.org/downloads/aws-sdk-codegurureviewer-1.82.0.gem,46.5
aws-sdk-codepipeline,1.118.0,in the package,55.3,Yes,https://rubygems.org/downloads/aws-sdk-codepipeline-1.118.0.gem,96.5
aws-sdk-codestar,1.59.0,in the package,37.7,Yes,https://rubygems.org/downloads/aws-sdk-codestar-1.59.0.gem,34.0
