gem,version,downloads,best_doc_url,doc_source,doc_coverage_pct,methods_documented,methods_total,has_readme,doc_dir_files,link_docs,docs_host,doc_is_autogen,gh_docs_dir,gh_site_config,gh_has_wiki,gh_has_pages,gh_homepage,link_home,link_changelog,link_wiki,github_url
state_machines-activemodel,0.200.0,68518731,https://www.rubydoc.info/gems/state_machines-activemodel/0.200.0,rubygems:generated_from_comments,95.0,19.0,20.0,True,0,https://www.rubydoc.info/gems/state_machines-activemodel/0.200.0,rubydoc.info,True,,,,,,https://github.com/state-machines/state_machines-activemodel,,,https://github.com/state-machines/state_machines-activemodel
sigdump,0.2.5,68264318,https://github.com/frsyuki/sigdump,gem:readme_only,0.0,0.0,9.0,True,0,https://www.rubydoc.info/gems/sigdump/0.2.5,rubydoc.info,True,,,,,,https://github.com/frsyuki/sigdump,,,https://github.com/frsyuki/sigdump
aws-sdk-apigatewaymanagementapi,1.77.0,67912594,https://rubydoc.info/gems/aws-sdk-apigatewaymanagementapi,rubygems:generated_from_comments,40.9,9.0,22.0,False,0,,,False,,,0.0,0.0,https://aws.amazon.com/sdk-for-ruby/,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-apigatewaymanagementapi/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby
warning,1.6.0,67652839,https://github.com/jeremyevans/ruby-warning/blob/master/README.rdoc,rubygems:custom_doc_site,71.4,5.0,7.0,True,0,https://github.com/jeremyevans/ruby-warning/blob/master/README.rdoc,github.com,False,,,,,,https://github.com/jeremyevans/ruby-warning,https://github.com/jeremyevans/ruby-warning/blob/master/CHANGELOG,,https://github.com/jeremyevans/ruby-warning
omniauth-facebook,11.0.0,67336625,https://www.rubydoc.info/gems/omniauth-facebook/11.0.0,rubygems:generated_from_comments,15.8,3.0,19.0,True,0,https://www.rubydoc.info/gems/omniauth-facebook/11.0.0,rubydoc.info,True,,,,,,https://github.com/simi/omniauth-facebook,,,https://github.com/simi/omniauth-facebook
sync,0.5.0,67169477,https://www.rubydoc.info/gems/sync/0.5.0,rubygems:generated_from_comments,11.1,2.0,18.0,True,0,https://www.rubydoc.info/gems/sync/0.5.0,rubydoc.info,True,,,,,,https://github.com/ruby/sync,,,https://github.com/ruby/sync
elasticsearch-rails,8.0.1,66940811,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/current/ruby_on_rails.html,rubygems:project_site,37.5,6.0,16.0,True,0,,,False,,,,,,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/current/ruby_on_rails.html,https://github.com/elastic/elasticsearch-rails/blob/main/CHANGELOG.md,,https://github.com/elastic/elasticsearch-rails
bugsnag,6.30.0,66683134,https://docs.bugsnag.com/platforms/ruby/,rubygems:custom_doc_site,61.0,188.0,308.0,True,0,https://docs.bugsnag.com/platforms/ruby/,docs.bugsnag.com,False,,,,,,https://github.com/bugsnag/bugsnag-ruby,https://github.com/bugsnag/bugsnag-ruby/blob/v6.30.0/CHANGELOG.md,,https://github.com/bugsnag/bugsnag-ruby
state_machines-activerecord,0.200.0,66429894,https://www.rubydoc.info/gems/state_machines-activerecord/0.200.0,rubygems:generated_from_comments,93.3,42.0,45.0,True,0,https://www.rubydoc.info/gems/state_machines-activerecord/0.200.0,rubydoc.info,True,,,,,,https://github.com/state-machines/state_machines-activerecord/,,,https://github.com/state-machines/state_machines-activerecord
delayed_job,4.2.0,66363805,https://rubydoc.info/gems/delayed_job,rubygems:generated_from_comments,11.4,14.0,123.0,True,0,,,False,,,,,,http://github.com/collectiveidea/delayed_job,https://github.com/collectiveidea/delayed_job/blob/master/CHANGELOG.md,,https://github.com/collectiveidea/delayed_job
