gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
i18n,1.15.2,1415699447,29.7,85.0,286.0,True,README.md,3924.0,0.0,0.0,0.0,1.0,https://guides.rubyonrails.org/i18n.html,guides.rubyonrails.org,False,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n/releases,,,https://github.com/ruby-i18n/i18n/issues,https://github.com/svenfuchs/i18n
activesupport,8.1.3,1412649969,36.6,771.0,2106.0,True,README.rdoc,1128.0,1.0,0.0,0.0,2.0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activesupport/CHANGELOG.md,,https://github.com/rails/rails/tree/v8.1.3.1/activesupport,https://github.com/rails/rails/issues,https://github.com/rails/rails
rake,13.4.2,1395357068,59.0,190.0,322.0,True,README.rdoc,4969.0,1.0,0.0,12.0,7.0,https://ruby.github.io/rake,ruby.github.io,False,https://github.com/ruby/rake,https://github.com/ruby/rake/releases,,,https://github.com/ruby/rake/issues,https://github.com/ruby/rake
json,3.0.0,1355755833,42.5,31.0,73.0,True,README.md,5392.0,1.0,1.0,0.0,2.0,https://docs.ruby-lang.org/en/master/JSON.html,docs.ruby-lang.org,False,https://github.com/ruby/json,https://github.com/ruby/json/blob/master/CHANGES.md,,,https://github.com/ruby/json/issues,https://github.com/ruby/json
minitest,6.0.6,1281474403,0.3,1.0,313.0,True,README.rdoc,29736.0,1.0,0.0,0.0,3.0,https://docs.seattlerb.org/minitest,docs.seattlerb.org,False,https://minite.st/,https://github.com/minitest/minitest/blob/master/History.rdoc,,https://github.com/minitest/minitest,https://github.com/minitest/minitest/issues,https://github.com/minitest/minitest
nokogiri,1.19.4,1249776487,46.8,245.0,523.0,True,README.md,13752.0,1.0,1.0,0.0,5.0,https://nokogiri.org/rdoc/index.html,nokogiri.org,False,https://nokogiri.org,https://nokogiri.org/CHANGELOG.html,,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri/issues,https://github.com/sparklemotion/nokogiri
diff-lcs,2.0.0,1218933223,37.4,34.0,91.0,True,README.md,4538.0,1.0,1.0,0.0,11.0,https://halostatue.github.io/diff-lcs/,halostatue.github.io,False,https://github.com/halostatue/diff-lcs,https://github.com/halostatue/diff-lcs/blob/main/CHANGELOG.md,,,https://github.com/halostatue/diff-lcs/issues,https://github.com/halostatue/diff-lcs
rspec-core,3.13.6,1187996415,37.2,396.0,1064.0,True,README.md,10479.0,1.0,1.0,0.0,3.0,https://rspec.info/documentation/,rspec.info,False,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-core-v3.13.6/rspec-core/Changelog.md,,https://github.com/rspec/rspec/blob/rspec-core-v3.13.6/rspec-core,https://github.com/rspec/rspec/issues,https://github.com/rspec/rspec-core
rspec-expectations,3.13.5,1187518803,42.8,323.0,755.0,True,README.md,9324.0,1.0,1.0,0.0,3.0,https://rspec.info/documentation/,rspec.info,False,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-expectations-v3.13.5/rspec-expectations/Changelog.md,,https://github.com/rspec/rspec/blob/rspec-expectations-v3.13.5/rspec-expectations,https://github.com/rspec/rspec/issues,https://github.com/rspec/rspec-expectations
rspec-mocks,3.13.8,1182198478,32.8,230.0,702.0,True,README.md,17689.0,1.0,1.0,0.0,3.0,https://rspec.info/documentation/,rspec.info,False,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-mocks-v3.13.8/rspec-mocks/Changelog.md,,https://github.com/rspec/rspec/blob/rspec-mocks-v3.13.8/rspec-mocks,https://github.com/rspec/rspec/issues,https://github.com/rspec/rspec-mocks
rspec-support,3.13.7,1174568773,11.8,31.0,262.0,True,README.md,1418.0,1.0,1.0,0.0,3.0,https://rspec.info/documentation/,rspec.info,False,https://rspec.info,https://github.com/rspec/rspec/blob/rspec-support-v3.13.7/rspec-support/Changelog.md,,https://github.com/rspec/rspec/blob/rspec-support-v3.13.7/rspec-support,https://github.com/rspec/rspec/issues,https://github.com/rspec/rspec
thor,1.5.0,1137357482,48.0,212.0,442.0,True,README.md,1317.0,0.0,1.0,0.0,3.0,https://github.com/rails/thor/wiki,github.com,False,https://github.com/rails/thor,https://github.com/rails/thor/releases/tag/v1.5.0,,https://github.com/rails/thor/tree/v1.5.0,https://github.com/rails/thor/issues,https://github.com/wycats/thor
rspec,3.13.2,1011146338,,0.0,0.0,True,README.md,1737.0,0.0,1.0,0.0,2.0,https://rspec.info/documentation/,rspec.info,False,https://rspec.info,,,https://github.com/rspec/rspec/tree/rspec-v3.13.2/rspec,https://github.com/rspec/rspec/issues,https://github.com/rspec/rspec
multipart-post,2.4.1,915576435,29.2,7.0,24.0,True,readme.md,4915.0,1.0,1.0,0.0,3.0,https://socketry.github.io/multipart-post/,socketry.github.io,False,https://github.com/socketry/multipart-post,,,https://github.com/socketry/multipart-post.git,,https://github.com/socketry/multipart-post
activemodel,8.1.3,882549386,23.9,133.0,556.0,True,README.rdoc,6837.0,1.0,0.0,0.0,2.0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activemodel/CHANGELOG.md,,https://github.com/rails/rails/tree/v8.1.3.1/activemodel,https://github.com/rails/rails/issues,https://github.com/rails/rails
activerecord,8.1.3,827451393,21.0,1119.0,5329.0,True,README.rdoc,7168.0,1.0,0.0,0.0,2.0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/activerecord/CHANGELOG.md,,https://github.com/rails/rails/tree/v8.1.3.1/activerecord,https://github.com/rails/rails/issues,https://github.com/rails/rails
actionpack,8.1.3,815491897,21.3,437.0,2055.0,True,README.rdoc,1997.0,1.0,0.0,0.0,2.0,https://api.rubyonrails.org/v8.1.3.1/,api.rubyonrails.org,False,https://rubyonrails.org,https://github.com/rails/rails/blob/v8.1.3.1/actionpack/CHANGELOG.md,,https://github.com/rails/rails/tree/v8.1.3.1/actionpack,https://github.com/rails/rails/issues,https://github.com/rails/rails
