gem,version,downloads,doc_coverage_pct,methods_documented,methods_total,has_readme,readme,readme_bytes,has_changelog,has_license,doc_dir_files,doc_files,link_docs,docs_host,doc_is_autogen,link_home,link_changelog,link_wiki,link_code,link_bugs,github_url
aws-sdk-cloudwatchlogs,1.162.0,143431321,73.2,131.0,179.0,False,,0.0,1.0,1.0,0.0,2.0,,,False,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudwatchlogs/CHANGELOG.md,,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudwatchlogs,,https://github.com/aws/aws-sdk-ruby
turbolinks,5.2.1,142564324,12.5,1.0,8.0,True,README.md,330.0,0.0,1.0,0.0,1.0,,,False,https://github.com/turbolinks/turbolinks,,,https://github.com/turbolinks/turbolinks-rails,,https://github.com/turbolinks/turbolinks-rails
xcpretty,0.4.1,142020092,3.7,8.0,218.0,True,README.md,3675.0,1.0,1.0,0.0,7.0,https://www.rubydoc.info/gems/xcpretty/0.4.1,rubydoc.info,True,https://github.com/supermarin/xcpretty,,,,,https://github.com/supermarin/xcpretty
bundler-audit,0.9.3,141579566,74.4,64.0,86.0,True,README.md,6751.0,1.0,1.0,0.0,5.0,https://rubydoc.info/gems/bundler-audit,rubydoc.info,True,https://github.com/rubysec/bundler-audit#readme,https://github.com/rubysec/bundler-audit/blob/master/ChangeLog.md,,https://github.com/rubysec/bundler-audit,https://github.com/rubysec/bundler-audit/issues,https://github.com/postmodern/bundler-audit
climate_control,1.2.0,141217682,0.0,0.0,4.0,True,README.md,4665.0,1.0,1.0,0.0,3.0,https://www.rubydoc.info/gems/climate_control/1.2.0,rubydoc.info,True,https://github.com/thoughtbot/climate_control,,,,,https://github.com/thoughtbot/climate_control
rufus-scheduler,3.9.2,140972965,18.0,27.0,150.0,True,README.md,52938.0,1.0,1.0,0.0,4.0,,,False,https://github.com/jmettraux/rufus-scheduler,https://github.com/jmettraux/rufus-scheduler/blob/master/CHANGELOG.md,,,https://github.com/jmettraux/rufus-scheduler/issues,https://github.com/jmettraux/rufus-scheduler
carrierwave,3.1.4,140945919,41.8,133.0,318.0,True,README.md,41019.0,0.0,0.0,0.0,1.0,,,False,https://github.com/carrierwaveuploader/carrierwave,https://github.com/carrierwaveuploader/carrierwave/blob/master/CHANGELOG.md,,,,https://github.com/carrierwaveuploader/carrierwave
bindata,3.0.0,140893251,14.9,92.0,618.0,True,README.md,1833.0,1.0,1.0,0.0,4.0,,,False,https://github.com/dmendel/bindata,https://github.com/dmendel/bindata/blob/master/ChangeLog.rdoc,,,,https://github.com/dmendel/bindata
ruby_parser,3.22.0,140778038,0.0,3.0,6502.0,True,README.rdoc,4450.0,1.0,0.0,0.0,5.0,,,False,https://github.com/seattlerb/ruby_parser,,,,https://github.com/seattlerb/ruby_parser/issues,https://github.com/seattlerb/ruby_parser
nenv,0.3.0,140647688,0.0,0.0,23.0,True,README.md,7950.0,0.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/nenv/0.3.0,rubydoc.info,True,https://github.com/e2/nenv,,,,,https://github.com/e2/nenv
notiffany,0.1.3,140639777,23.6,29.0,123.0,True,README.md,2421.0,0.0,1.0,0.0,2.0,http://www.rubydoc.info/gems/notiffany,rubydoc.info,True,https://github.com/guard/notiffany,,https://github.com/guard/notiffany/wiki,,https://github.com/guard/notiffany/issues,https://github.com/guard/notiffany
unicode_utils,1.4.0,139441880,46.2,43.0,93.0,True,README.rdoc,1129.0,1.0,1.0,0.0,4.0,,,False,http://github.com/lang/unicode_utils,,,,,https://github.com/lang/unicode_utils
slack-notifier,2.4.0,139435781,5.1,2.0,39.0,False,,0.0,0.0,0.0,0.0,0.0,https://www.rubydoc.info/gems/slack-notifier/2.4.0,rubydoc.info,True,http://github.com/stevenosloan/slack-notifier,,,,,https://github.com/stevenosloan/slack-notifier
rails-i18n,8.1.0,139039988,2.2,1.0,46.0,True,README.md,9283.0,1.0,0.0,0.0,3.0,,,False,https://github.com/svenfuchs/rails-i18n,https://github.com/svenfuchs/rails-i18n/blob/master/CHANGELOG.md,,,,https://github.com/svenfuchs/rails-i18n
shellany,0.0.1,139022664,84.6,11.0,13.0,True,README.md,1765.0,0.0,1.0,0.0,2.0,https://www.rubydoc.info/gems/shellany/0.0.1,rubydoc.info,True,,,,,,
faraday-http-cache,2.7.0,138867641,76.7,66.0,86.0,True,README.md,8116.0,0.0,1.0,0.0,1.0,https://www.rubydoc.info/gems/faraday-http-cache/2.7.0,rubydoc.info,True,https://github.com/sourcelevel/faraday-http-cache,,,https://github.com/plataformatec/faraday-http-cache,,https://github.com/plataformatec/faraday-http-cache
cocoapods,1.17.0,138370087,70.8,956.0,1350.0,True,README.md,6270.0,1.0,1.0,0.0,2.0,http://rubydoc.info/gems/cocoapods,rubydoc.info,True,https://github.com/CocoaPods/CocoaPods,,https://github.com/CocoaPods/CocoaPods/wiki,,https://github.com/CocoaPods/CocoaPods/issues,https://github.com/cocoapods/cocoapods
jaro_winkler,1.7.0,137638100,0.0,0.0,7.0,False,,0.0,0.0,1.0,0.0,1.0,https://www.rubydoc.info/gems/jaro_winkler/1.7.0,rubydoc.info,True,https://github.com/tonytonyjan/jaro_winkler,https://github.com/tonytonyjan/jaro_winkler/blob/v1.7.0/CHANGELOG.md,,https://github.com/tonytonyjan/jaro_winkler/tree/v1.7.0,https://github.com/tonytonyjan/jaro_winkler/issues,https://github.com/tonytonyjan/jaro_winkler
