package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
ruby-readability,0.7.3,591872,0.592,21,19,12429312,0.0124
fluentd,1.19.3,585216,0.585,432,410,252813312,0.2528
brotli,0.8.0,585216,0.585,18,18,10533888,0.0105
activerecord,8.1.3,568832,0.569,517,343,294086144,0.2941
smarter_csv,1.19.0,563712,0.564,93,87,52425216,0.0524
aws-sdk-connect,1.275.0,560640,0.561,277,277,155297280,0.1553
yajl-ruby,1.4.3,558592,0.559,48,48,26812416,0.0268
ddtrace,1.23.3,549376,0.549,153,137,84054528,0.0841
rouge,5.1.0,543744,0.544,142,141,77211648,0.0772
ai-agents,0.12.0,534016,0.534,21,21,11214336,0.0112
algolia,3.43.0,529920,0.53,137,100,72599040,0.0726
pedump,0.7.6,526848,0.527,49,49,25815552,0.0258
fauxhai-ng,9.3.0,523776,0.524,18,18,9427968,0.0094
jquery-rails,4.6.1,523776,0.524,79,76,41378304,0.0414
rbtrace,0.5.5,522752,0.523,52,52,27183104,0.0272
newrelic_rpm,10.7.1,516096,0.516,309,231,159473664,0.1595
terminal-notifier-guard,1.7.0,512512,0.513,8,8,4100096,0.0041
devise-secure_password,2.2.3,510464,0.51,16,16,8167424,0.0082
licensee,10.1.0,504320,0.504,107,96,53962240,0.054
zstd-ruby,2.0.8,500736,0.501,52,51,26038272,0.026
aws-sdk-glue,1.270.0,488448,0.488,272,271,132857856,0.1329
ffaker,2.25.0,486400,0.486,69,69,33561600,0.0336
nested_form,0.3.2,483840,0.484,10,10,4838400,0.0048
fog,2.3.0,481280,0.481,246,245,118394880,0.1184
babel-source,5.8.35,477184,0.477,152,148,72531968,0.0725
bundler,4.0.20,467968,0.468,431,325,201694208,0.2017
jquery-datatables-rails,3.4.0,465408,0.465,26,26,12100608,0.0121
inspec-core,7.2.1,457216,0.457,159,156,72697344,0.0727
jekyll-theme-merlot,0.2.0,454656,0.455,7,7,3182592,0.0032
eslintrb,2.1.0,453120,0.453,6,6,2718720,0.0027
dependabot-npm_and_yarn,0.395.0,448512,0.449,1033,1032,463312896,0.4633
soap4r-ruby1.9,2.0.5,442368,0.442,6,6,2654208,0.0027
unicode_utils,1.4.0,439808,0.44,10,10,4398080,0.0044
fog-aws,3.33.3,438784,0.439,84,84,36857856,0.0369
aws-sdk-securityhub,1.163.0,435712,0.436,161,161,70149632,0.0701
dragonfly,1.4.2,432640,0.433,83,83,35909120,0.0359
algoliasearch-rails,3.0.4,430080,0.43,125,125,53760000,0.0538
mongo,2.25.0,429568,0.43,207,170,88920576,0.0889
aws-sdk-core,3.254.1,427520,0.428,1479,1444,632302080,0.6323
feedjira,4.0.2,421888,0.422,31,30,13078528,0.0131
playwright-ruby-client,1.62.0,421376,0.421,128,109,53936128,0.0539
rack-mini-profiler,5.0.0,420352,0.42,85,79,35729920,0.0357
ibandit,1.33.0,420352,0.42,112,112,47079424,0.0471
ruby_smb,3.3.22,417280,0.417,85,85,35468800,0.0355
graphql,2.6.10,416256,0.416,409,390,170248704,0.1702
karafka,2.6.1,410112,0.41,200,153,82022400,0.082
sidekiq-status,4.0.0,407552,0.408,34,34,13856768,0.0139
good_job,4.19.2,403456,0.403,281,281,113371136,0.1134
terminal-notifier,3.1.0,400896,0.401,19,19,7617024,0.0076
unf_ext,0.0.9.1,399872,0.4,48,44,19193856,0.0192
xcpretty,0.4.1,399872,0.4,33,33,13195776,0.0132
git,5.4.1,398336,0.398,95,86,37841920,0.0378
recog,3.1.35,396288,0.396,168,168,66576384,0.0666
mail,2.9.1,396288,0.396,97,81,38439936,0.0384
device_detector,1.1.3,395776,0.396,27,27,10685952,0.0107
httpclient,2.9.0,394240,0.394,53,53,20894720,0.0209
capybara,3.40.0,384000,0.384,151,139,57984000,0.058
aws-sdk-medialive,1.195.0,380928,0.381,197,197,75042816,0.075
