gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
json-ld-preloaded,1,3.3.2,3.3.2,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,40.0,0.0,,8572.0,140288.0,0.0,0.0
json-schema,1,6.2.0,6.2.0,245.0,245.0,250.0,0.0,233.0,12.0,0.0,245.0,0.0,0.0,76.0,0.0,,2526.0,33280.0,0.0,0.0
json_api_client,1,1.25.0,1.25.0,395.0,395.0,395.0,0.0,321.0,28.0,46.0,395.0,0.0,0.0,42.0,0.0,,2106.0,29184.0,0.0,0.0
json_completer,1,1.2.0,1.2.0,74.0,74.0,78.0,0.0,42.0,32.0,0.0,74.0,0.0,0.0,4.0,0.0,,930.0,12800.0,0.0,0.0
json_expressions,1,0.9.0,0.9.0,66.0,66.0,66.0,0.0,55.0,11.0,0.0,66.0,0.0,0.0,9.0,0.0,,355.0,12800.0,0.0,0.0
json_matchers,1,0.11.1,0.11.1,41.0,41.0,41.0,0.0,19.0,22.0,0.0,41.0,0.0,0.0,10.0,0.0,,209.0,18944.0,0.0,0.0
json_pure,1,2.8.1,2.8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,18944.0,0.0,0.0
json_refs,1,0.1.9,0.1.9,22.0,22.0,22.0,0.0,14.0,8.0,0.0,22.0,0.0,0.0,4.0,0.0,,165.0,8704.0,0.0,0.0
json_schema,1,0.21.0,0.21.0,186.0,186.0,191.0,0.0,115.0,71.0,0.0,186.0,0.0,0.0,13.0,0.0,,1583.0,37376.0,0.0,0.0
json_schemer,1,2.5.0,2.5.0,309.0,309.0,310.0,0.0,286.0,23.0,0.0,309.0,0.0,0.0,50.0,0.0,,7354.0,54272.0,0.0,0.0
json_skooma,1,0.2.7,0.2.7,262.0,262.0,262.0,0.0,230.0,31.0,1.0,262.0,0.0,0.0,102.0,0.0,,2877.0,38400.0,0.0,0.0
json_spec,1,1.1.5,1.1.5,94.0,94.0,99.0,0.0,88.0,6.0,0.0,94.0,0.0,0.0,16.0,0.0,,500.0,18432.0,0.0,0.0
jsonapi-parser,1,0.1.1,0.1.1,23.0,23.0,23.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,5.0,0.0,,195.0,6656.0,0.0,0.0
jsonapi-renderer,1,0.2.2,0.2.2,39.0,39.0,39.0,0.0,24.0,15.0,0.0,39.0,0.0,0.0,7.0,0.0,,324.0,8704.0,0.0,0.0
jsonapi-resources,1,0.10.7,0.10.7,924.0,924.0,931.0,0.0,803.0,99.0,22.0,924.0,0.0,0.0,44.0,0.0,,6033.0,57856.0,2.0,0.0
jsonapi-serializer,1,2.2.0,2.2.0,114.0,114.0,114.0,0.0,75.0,39.0,0.0,114.0,0.0,0.0,18.0,0.0,,737.0,23040.0,0.0,0.0
