registry,package,downloads,latest_version,version_count,stable_version_count,first_release,latest_release,github_url,registry_url,doc_site_url,readme_file,has_readme,xml_doc_file,has_xml_docs,error
nuget,System.Text.Encoding.Extensions,3289263151.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Text.Encoding.Extensions,https://dot.net/,,No,ref/netcore50/System.Text.Encoding.Extensions.xml,Yes,
nuget,System.Xml.ReaderWriter,3243106538.0,4.3.1,19,6,,,,https://www.nuget.org/packages/System.Xml.ReaderWriter,https://dot.net/,,No,ref/netcore50/System.Xml.ReaderWriter.xml,Yes,
nuget,System.Security.Permissions,3205243295.0,10.0.12,130,44,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/System.Security.Permissions,https://dot.net/,,No,lib/net10.0/System.Security.Permissions.xml,Yes,
nuget,runtime.native.System,3187108702.0,4.3.1,5,3,,,,https://www.nuget.org/packages/runtime.native.System,https://dot.net/,,No,,No,
nuget,Serilog,3164125986.0,4.4.0,600,185,,,https://github.com/serilog/serilog,https://www.nuget.org/packages/Serilog,https://serilog.net/,README.md,Yes,lib/net10.0/Serilog.xml,Yes,
nuget,System.Runtime.InteropServices.RuntimeInformation,3052817013.0,4.3.0,7,2,,,,https://www.nuget.org/packages/System.Runtime.InteropServices.RuntimeInformation,https://dot.net/,,No,,No,
nuget,Microsoft.Extensions.Configuration.Json,3039313600.0,10.0.12,178,89,,,https://github.com/dotnet/runtime,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Json,https://dot.net/,,No,lib/net10.0/Microsoft.Extensions.Configuration.Json.xml,Yes,
nuget,System.Xml.XDocument,3038317563.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Xml.XDocument,https://dot.net/,,No,ref/netcore50/System.Xml.XDocument.xml,Yes,
nuget,System.Diagnostics.Tools,3031995936.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.Diagnostics.Tools,https://dot.net/,,No,ref/netcore50/System.Diagnostics.Tools.xml,Yes,
nuget,System.Security.Cryptography.Algorithms,3003894862.0,4.3.1,9,4,,,,https://www.nuget.org/packages/System.Security.Cryptography.Algorithms,https://dot.net/,,No,,No,
nuget,Microsoft.IdentityModel.Abstractions,3001618967.0,8.22.0,92,84,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/Microsoft.IdentityModel.Abstractions,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/Microsoft.IdentityModel.Abstractions.xml,Yes,
nuget,System.Diagnostics.Tracing,2977065209.0,4.3.0,20,5,,,,https://www.nuget.org/packages/System.Diagnostics.Tracing,https://dot.net/,,No,ref/netcore50/System.Diagnostics.Tracing.xml,Yes,
nuget,Microsoft.IdentityModel.Protocols.OpenIdConnect,2973968103.0,8.22.0,141,125,,,https://github.com/azuread/azure-activedirectory-identitymodel-extensions-for-dotnet,https://www.nuget.org/packages/Microsoft.IdentityModel.Protocols.OpenIdConnect,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,README.md,Yes,lib/net10.0/Microsoft.IdentityModel.Protocols.OpenIdConnect.xml,Yes,
nuget,System.Collections.Concurrent,2960923724.0,4.3.0,17,4,,,,https://www.nuget.org/packages/System.Collections.Concurrent,https://dot.net/,,No,ref/netcore50/System.Collections.Concurrent.xml,Yes,
nuget,System.Security.Cryptography.X509Certificates,2942587113.0,4.3.2,18,6,,,,https://www.nuget.org/packages/System.Security.Cryptography.X509Certificates,https://dot.net/,,No,,No,
nuget,System.AppContext,2906525225.0,4.3.0,14,3,,,,https://www.nuget.org/packages/System.AppContext,https://dot.net/,,No,ref/netstandard1.3/System.AppContext.xml,Yes,
