package,downloads,registry_name,in_stars,in_forks,in_downloads_90pct,sources
microsoft.entityframeworkcore.sqlserver,1000360853.0,Microsoft.EntityFrameworkCore.SqlServer,True,True,True,stars+forks+downloads
system.io.filesystem.accesscontrol,992641581.0,System.IO.FileSystem.AccessControl,True,True,True,stars+forks+downloads
serilog.settings.configuration,967001982.0,Serilog.Settings.Configuration,True,True,True,stars+forks+downloads
microsoft.aspnetcore.authorization.policy,962694068.0,Microsoft.AspNetCore.Authorization.Policy,False,True,True,forks+downloads
npgsql,959449516.0,Npgsql,True,True,True,stars+forks+downloads
serilog.formatting.compact,952202198.0,Serilog.Formatting.Compact,False,True,True,forks+downloads
system.runtime.loader,947964624.0,System.Runtime.Loader,True,True,True,stars+forks+downloads
system.xml.xmlserializer,934869753.0,System.Xml.XmlSerializer,False,False,True,downloads
microsoft.aspnetcore.responsecaching.abstractions,910516161.0,Microsoft.AspNetCore.ResponseCaching.Abstractions,False,True,True,forks+downloads
pipelines.sockets.unofficial,897805201.0,Pipelines.Sockets.Unofficial,True,True,True,stars+forks+downloads
system.diagnostics.process,883426677.0,System.Diagnostics.Process,True,True,True,stars+forks+downloads
grpc.net.common,870638886.0,Grpc.Net.Common,False,False,True,downloads
system.xml.xpath,863443722.0,System.Xml.XPath,True,True,True,stars+forks+downloads
microsoft.codeanalysis.workspaces.common,862956035.0,Microsoft.CodeAnalysis.Workspaces.Common,True,True,True,stars+forks+downloads
system.private.datacontractserialization,859501361.0,System.Private.DataContractSerialization,False,False,True,downloads
grpc.net.client,856600228.0,Grpc.Net.Client,True,True,True,stars+forks+downloads
runtime.native.system.security.cryptography,853753538.0,runtime.native.System.Security.Cryptography,False,False,True,downloads
system.threading.tasks.dataflow,852939508.0,System.Threading.Tasks.Dataflow,True,True,True,stars+forks+downloads
serilog.extensions.hosting,847510240.0,Serilog.Extensions.Hosting,True,True,True,stars+forks+downloads
microsoft.codeanalysis.csharp.workspaces,838524684.0,Microsoft.CodeAnalysis.CSharp.Workspaces,True,True,True,stars+forks+downloads
azure.storage.common,823033063.0,Azure.Storage.Common,True,True,True,stars+forks+downloads
microsoft.aspnetcore.mvc.newtonsoftjson,820978818.0,Microsoft.AspNetCore.Mvc.NewtonsoftJson,True,True,True,stars+forks+downloads
microsoft.net.workload.mono.toolchain.current.manifest-8.0.100,818059238.0,Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100,False,False,True,downloads
microsoft.net.workload.emscripten.current.manifest-8.0.100,817831455.0,Microsoft.NET.Workload.Emscripten.Current.Manifest-8.0.100,False,False,True,downloads
microsoft.net.workload.emscripten.net7.manifest-8.0.100,817487346.0,Microsoft.NET.Workload.Emscripten.net7.Manifest-8.0.100,False,False,True,downloads
microsoft.net.workload.mono.toolchain.net7.manifest-8.0.100,816999963.0,Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100,False,False,True,downloads
microsoft.net.workload.emscripten.net6.manifest-8.0.100,816638092.0,Microsoft.NET.Workload.Emscripten.net6.Manifest-8.0.100,False,False,True,downloads
