package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
Microsoft.Extensions.Logging.EventSource,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.EventSource.xml,16008,,5,5,167267,65558
System.Threading.ThreadPool,4.3.0,ok,ref/netstandard1.3/System.Threading.ThreadPool.xml,11952,,4,10,89926,65558
Microsoft.DotNet.PlatformAbstractions,3.1.6,ok,lib/net45/Microsoft.DotNet.PlatformAbstractions.xml,162,,3,3,72146,65558
Microsoft.AspNetCore.Authentication.JwtBearer,10.0.11,ok,lib/net10.0/Microsoft.AspNetCore.Authentication.JwtBearer.xml,31273,,1,1,68968,65558
Google.Protobuf,3.36.1,ok,lib/net8.0/Google.Protobuf.xml,641685,,2,2,730863,65558
System.Diagnostics.TraceSource,4.3.0,ok,ref/netstandard1.3/System.Diagnostics.TraceSource.xml,110443,,3,10,227705,65558
System.Runtime.Caching,10.0.11,ok,lib/net10.0/System.Runtime.Caching.xml,78652,,4,4,388823,65558
System.Formats.Asn1,10.0.11,ok,lib/net10.0/System.Formats.Asn1.xml,248086,,5,5,365067,65558
NuGet.Frameworks,7.9.0,ok,lib/net472/NuGet.Frameworks.xml,100311,README.md,2,2,200096,65558
System.CodeDom,10.0.11,ok,lib/net10.0/System.CodeDom.xml,375508,,5,5,512518,65558
System.Security.Principal,4.3.0,ok,ref/netcore50/System.Security.Principal.xml,3592,,4,20,94590,65558
Microsoft.ApplicationInsights,3.1.2,ok,lib/net10.0/Microsoft.ApplicationInsights.xml,189412,,5,5,827039,65558
System.Security.Claims,4.3.0,ok,ref/netstandard1.3/System.Security.Claims.xml,52642,,4,10,147933,65558
System.ClientModel,1.15.0,ok,lib/net10.0/System.ClientModel.xml,372613,README.md,4,4,756269,65558
Microsoft.Extensions.Logging.EventLog,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Logging.EventLog.xml,11119,,5,5,134325,65558
System.Diagnostics.PerformanceCounter,10.0.11,ok,lib/net10.0/System.Diagnostics.PerformanceCounter.xml,134005,,5,5,437589,65558
System.Data.SqlClient,4.9.1,ok,lib/net462/System.Data.SqlClient.xml,203612,,4,4,1970943,65558
Swashbuckle.AspNetCore,10.2.3,ok,,0,,0,0,16490,16490
