package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct,documentation_location,xml_doc_file,readme,obtainable_by_download,download_url,size_kb,handwritten_site_status,github_docs_folder_status,github_wiki_status,github_pages_status,homepage_status,has_working_link
DockPanelSuite.ThemeVS2015,3.1.1,694535.0,hand-written site; homepage,2,http://dockpanelsuite.com/,,,,,,,,,,http://dockpanelsuite.com/,,https://www.nuget.org/packages/DockPanelSuite.ThemeVS2015,,not in the package,,,No,,0.0,ok,,,,ok,Yes
DNNE,2.1.2,693749.0,readme; homepage,1,,,readme.md,,,,https://github.com/aaronrobinsonmsft/dnne,,,,https://github.com/AaronRobinsonMSFT/DNNE,,https://www.nuget.org/packages/DNNE,,in the package,,readme.md,Yes,https://api.nuget.org/v3-flatcontainer/dnne/2.1.2/dnne.2.1.2.nupkg,0.0,,,,,ok,Yes
Rnwood.SmtpServer,3.0.25,689980.0,xml docs; homepage,1,,,,,,lib/net40/Rnwood.SmtpServer.XML,https://github.com/rnwood/smtp4dev,,,,https://github.com/rnwood/smtp4dev,,https://www.nuget.org/packages/Rnwood.SmtpServer,,in the package,lib/net40/Rnwood.SmtpServer.XML,,Yes,https://api.nuget.org/v3-flatcontainer/rnwood.smtpserver/3.0.25/rnwood.smtpserver.3.0.25.nupkg,14.7,,,,,ok,Yes
DNS,7.0.0,689840.0,readme; homepage,1,,,README.md,,,,https://github.com/kapetan/dns,,,,https://github.com/kapetan/dns,,https://www.nuget.org/packages/DNS,,in the package,,README.md,Yes,https://api.nuget.org/v3-flatcontainer/dns/7.0.0/dns.7.0.0.nupkg,0.0,,,,,ok,Yes
CommunityToolkit.Aspire.Hosting.Dapr,13.0.0,684918.0,readme; xml docs; homepage,1,,,README.md,,,lib/net10.0/CommunityToolkit.Aspire.Hosting.Dapr.xml,https://github.com/communitytoolkit/aspire,,,,https://github.com/CommunityToolkit/Aspire,,https://www.nuget.org/packages/CommunityToolkit.Aspire.Hosting.Dapr,,in the package,lib/net10.0/CommunityToolkit.Aspire.Hosting.Dapr.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/communitytoolkit.aspire.hosting.dapr/13.0.0/communitytoolkit.aspire.hosting.dapr.13.0.0.nupkg,32.6,,,,,ok,Yes
EventAggregator.Blazor,2.0.0,679892.0,homepage,1,,,,,,,https://github.com/mikoskinen/blazor.eventaggregator,,,,https://github.com/mikoskinen/Blazor.EventAggregator,,https://www.nuget.org/packages/EventAggregator.Blazor,,not in the package,,,No,,0.0,,,,,ok,Yes
DotNet4.SocksProxy,1.4.0.1,679450.0,homepage,1,,,,,,,https://github.com/lloydsparkes/sockswebproxy,,,,https://github.com/lloydsparkes/SocksWebProxy/,,https://www.nuget.org/packages/DotNet4.SocksProxy,,not in the package,,,No,,0.0,,,,,ok,Yes
Microsoft.Packaging.Tools.Trimming,1.1.0-preview1-26619-01,675017.0,hand-written site; homepage,2,https://dot.net/,,,,,,,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Packaging.Tools.Trimming,,not in the package,,,No,,0.0,redirected,,,,redirected,Yes
rix0rrr.BeaconLib,1.0.2,674921.0,homepage,1,,,,,,,https://github.com/rix0rrr/beacon,,,,https://github.com/rix0rrr/beacon,,https://www.nuget.org/packages/rix0rrr.BeaconLib,,not in the package,,,No,,0.0,,,,,ok,Yes
AvaloniaUI.DiagnosticsSupport,2.2.3,669375.0,hand-written site; readme; homepage,2,https://avaloniaui.net/,,README.md,,,,,,,,https://avaloniaui.net/,,https://www.nuget.org/packages/AvaloniaUI.DiagnosticsSupport,,in the package,,README.md,Yes,https://api.nuget.org/v3-flatcontainer/avaloniaui.diagnosticssupport/2.2.3/avaloniaui.diagnosticssupport.2.2.3.nupkg,0.0,ok,,,,ok,Yes
NiL.JS,2.6.1722,667466.0,readme,0,,,README.md,,,,https://github.com/nilproject/nil.js,,,,,,https://www.nuget.org/packages/NiL.JS,,in the package,,README.md,Yes,https://api.nuget.org/v3-flatcontainer/nil.js/2.6.1722/nil.js.2.6.1722.nupkg,0.0,,,,,,No
Microsoft.VisualStudio.TemplateWizardInterface,17.10.40170,667444.0,hand-written site; xml docs; homepage,2,https://aka.ms/vsextensibility,,,,,lib/net472/Microsoft.VisualStudio.TemplateWizardInterface.xml,,,,,https://aka.ms/vsextensibility,,https://www.nuget.org/packages/Microsoft.VisualStudio.TemplateWizardInterface,,in the package,lib/net472/Microsoft.VisualStudio.TemplateWizardInterface.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.visualstudio.templatewizardinterface/17.10.40170/microsoft.visualstudio.templatewizardinterface.17.10.40170.nupkg,31.4,redirected,,,,redirected,Yes
z440.atl.core,7.16.0,664910.0,readme; xml docs; homepage,1,,,README.md,,,lib/net6.0/ATL.xml,https://github.com/zeugma440/atldotnet,,,,https://github.com/Zeugma440/atldotnet,,https://www.nuget.org/packages/z440.atl.core,,in the package,lib/net6.0/ATL.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/z440.atl.core/7.16.0/z440.atl.core.7.16.0.nupkg,371.6,,,,,ok,Yes
Ecng.Data,1.0.476,664526.0,hand-written site; readme; xml docs; homepage,2,https://stocksharp.com/,,README.md,,,lib/net10.0/Ecng.Data.xml,https://github.com/stocksharp/ecng,,,,https://stocksharp.com/,,https://www.nuget.org/packages/Ecng.Data,,in the package,lib/net10.0/Ecng.Data.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/ecng.data/1.0.476/ecng.data.1.0.476.nupkg,94.9,ok,,,,ok,Yes
ReactiveUI.Events.WPF,15.1.1,663626.0,hand-written site; xml docs; homepage,2,https://reactiveui.net/,,,,,lib/net461/ReactiveUI.Events.WPF.xml,https://github.com/reactiveui/reactiveui,,,,https://reactiveui.net/,,https://www.nuget.org/packages/ReactiveUI.Events.WPF,,in the package,lib/net461/ReactiveUI.Events.WPF.xml,,Yes,https://api.nuget.org/v3-flatcontainer/reactiveui.events.wpf/15.1.1/reactiveui.events.wpf.15.1.1.nupkg,266.3,ok,,,,ok,Yes
Square.Picasso,2.71828.0,658939.0,hand-written site; homepage,2,https://go.microsoft.com/fwlink/?linkid=2130312,,,,,,https://github.com/dotnet/android-libraries,,,,https://go.microsoft.com/fwlink/?linkid=2130312,,https://www.nuget.org/packages/Square.Picasso,,not in the package,,,No,,0.0,not_found,,,,not_found,No
Senparc.CO2NET.Cache.Redis,5.3.0,657773.0,xml docs; homepage,1,,,,,,lib/net462/Senparc.CO2NET.Cache.Redis.xml,https://github.com/senparc/senparc.co2net,,,,https://github.com/JeffreySu/WeiXinMPSDK,,https://www.nuget.org/packages/Senparc.CO2NET.Cache.Redis,,in the package,lib/net462/Senparc.CO2NET.Cache.Redis.xml,,Yes,https://api.nuget.org/v3-flatcontainer/senparc.co2net.cache.redis/5.3.0/senparc.co2net.cache.redis.5.3.0.nupkg,14.5,,,,,ok,Yes
NEbml,1.1.0.5,655199.0,readme; xml docs; homepage,1,,,README.md,,,lib/net461/NEbml.Core.xml,https://github.com/olegzee/nebml,,,,https://github.com/OlegZee/NEbml,,https://www.nuget.org/packages/NEbml,,in the package,lib/net461/NEbml.Core.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/nebml/1.1.0.5/nebml.1.1.0.5.nupkg,45.0,,,,,ok,Yes
Microsoft.Azure.Management.OperationalInsights,0.25.0-preview,652054.0,xml docs; homepage,1,,,,,,lib/net452/Microsoft.Azure.Management.OperationalInsights.xml,https://github.com/azure/azure-sdk-for-net,,,,https://github.com/Azure/azure-sdk-for-net,,https://www.nuget.org/packages/Microsoft.Azure.Management.OperationalInsights,,in the package,lib/net452/Microsoft.Azure.Management.OperationalInsights.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.azure.management.operationalinsights/0.25.0-preview/microsoft.azure.management.operationalinsights.0.25.0-preview.nupkg,580.9,,,,,ok,Yes
Watson,7.1.1,650770.0,readme; xml docs; homepage,1,,,README.md,,,lib/net10.0/WatsonWebserver.xml,https://github.com/dotnet/watsonwebserver,,,,https://github.com/dotnet/WatsonWebserver,,https://www.nuget.org/packages/Watson,,in the package,lib/net10.0/WatsonWebserver.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/watson/7.1.1/watson.7.1.1.nupkg,428.1,,,,,ok,Yes
Xamarin.AndroidX.WebKit,1.17.0,648945.0,hand-written site; readme; xml docs; homepage,2,https://aka.ms/android-libraries,,readme.md,,,lib/net9.0-android35.0/Xamarin.AndroidX.WebKit.xml,https://github.com/dotnet/android-libraries,,,,https://aka.ms/android-libraries,,https://www.nuget.org/packages/Xamarin.AndroidX.WebKit,,in the package,lib/net9.0-android35.0/Xamarin.AndroidX.WebKit.xml,readme.md,Yes,https://api.nuget.org/v3-flatcontainer/xamarin.androidx.webkit/1.17.0/xamarin.androidx.webkit.1.17.0.nupkg,0.1,redirected,,,,redirected,Yes
Microsoft.Azure.Management.Search,4.0.0,646401.0,xml docs; homepage,1,,,,,,lib/net452/Microsoft.Azure.Management.Search.xml,https://github.com/azure/azure-sdk-for-net,,,,https://github.com/Azure/azure-sdk-for-net,,https://www.nuget.org/packages/Microsoft.Azure.Management.Search,,in the package,lib/net452/Microsoft.Azure.Management.Search.xml,,Yes,https://api.nuget.org/v3-flatcontainer/microsoft.azure.management.search/4.0.0/microsoft.azure.management.search.4.0.0.nupkg,302.7,,,,,ok,Yes
Diacritical.Net,1.0.5,645533.0,homepage,1,,,,,,,https://github.com/anth12/diacritical-dotnet,,,,https://github.com/anth12/diacritical-dotnet,,https://www.nuget.org/packages/Diacritical.Net,,not in the package,,,No,,0.0,,,,,ok,Yes
Iot.Device.Bindings,4.2.0,642937.0,readme; xml docs; homepage,1,,,README.md,,,lib/net8.0/Iot.Device.Bindings.xml,https://github.com/dotnet/iot,,,,https://github.com/dotnet/iot,,https://www.nuget.org/packages/Iot.Device.Bindings,,in the package,lib/net8.0/Iot.Device.Bindings.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/iot.device.bindings/4.2.0/iot.device.bindings.4.2.0.nupkg,3205.7,,,,,ok,Yes
Milvus.Client,2.3.0-preview.1,642551.0,readme; xml docs; homepage,1,,,readme.md,,,lib/net462/Milvus.Client.xml,https://github.com/milvus-io/milvus-sdk-csharp,,,,https://github.com/milvus-io/milvus-sdk-csharp,,https://www.nuget.org/packages/Milvus.Client,,in the package,lib/net462/Milvus.Client.xml,readme.md,Yes,https://api.nuget.org/v3-flatcontainer/milvus.client/2.3.0-preview.1/milvus.client.2.3.0-preview.1.nupkg,367.2,,,,,ok,Yes
System.Security.Cryptography.Cose,10.0.12,640976.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Security.Cryptography.Cose.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Security.Cryptography.Cose,,in the package,lib/net10.0/System.Security.Cryptography.Cose.xml,,Yes,https://api.nuget.org/v3-flatcontainer/system.security.cryptography.cose/10.0.12/system.security.cryptography.cose.10.0.12.nupkg,123.0,redirected,,,,redirected,Yes
Open.NAT,2.1.0,640031.0,xml docs; homepage,1,,,,,,lib/net35/Open.Nat.XML,https://github.com/lontivero/open.nat,,,,https://github.com/lontivero/Open.NAT,,https://www.nuget.org/packages/Open.NAT,,in the package,lib/net35/Open.Nat.XML,,Yes,https://api.nuget.org/v3-flatcontainer/open.nat/2.1.0/open.nat.2.1.0.nupkg,14.8,,,,,ok,Yes
aliyun-net-sdk-sts,3.1.3,635965.0,homepage,1,,,,,,,https://github.com/aliyun/aliyun-openapi-net-sdk,,,,https://github.com/aliyun/aliyun-openapi-net-sdk,,https://www.nuget.org/packages/aliyun-net-sdk-sts,,not in the package,,,No,,0.0,,,,,ok,Yes
CmdLine,1.0.7.509,632323.0,hand-written site; homepage,2,https://code.msdn.microsoft.com/Command-Line-Parser-Library-a8ba828a,,,,,,,,,,https://code.msdn.microsoft.com/Command-Line-Parser-Library-a8ba828a,,https://www.nuget.org/packages/CmdLine,,not in the package,,,No,,0.0,not_found,,,,not_found,No
Dock.Avalonia,12.1.0.6,629736.0,readme; xml docs; homepage,1,,,README.md,,,lib/net10.0/Dock.Avalonia.xml,https://github.com/wieslawsoltes/dock,,,,https://github.com/wieslawsoltes/Dock,,https://www.nuget.org/packages/Dock.Avalonia,,in the package,lib/net10.0/Dock.Avalonia.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/dock.avalonia/12.1.0.6/dock.avalonia.12.1.0.6.nupkg,212.8,,,,,ok,Yes
LiveChartsCore.SkiaSharpView.Avalonia,2.0.5,627312.0,readme; xml docs,0,,,README.md,,,lib/net6.0/LiveChartsCore.SkiaSharpView.Avalonia.xml,https://github.com/beto-rodriguez/livecharts2,,,,,,https://www.nuget.org/packages/LiveChartsCore.SkiaSharpView.Avalonia,,in the package,lib/net6.0/LiveChartsCore.SkiaSharpView.Avalonia.xml,README.md,Yes,https://api.nuget.org/v3-flatcontainer/livechartscore.skiasharpview.avalonia/2.0.5/livechartscore.skiasharpview.avalonia.2.0.5.nupkg,86.6,,,,,,No
